Apoly_gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	gene_symbol	function_protein	threshold_OE
Apoly000623	55.1652722364116	0.94639835296339	0.246845999942897	3.83396268597555	0.00012609527794636	0.046169661660034	g20107	TGFA1_BOVIN	Transforming growth factor-beta receptor-associated protein 1	TRUE
Apoly003575	256.730569513703	-0.609403773743912	0.151899597301904	-4.01188538066174	6.02357459710638e-05	0.0342456575474272	g38819	LAMA5_HUMAN	Laminin subunit alpha-5	TRUE
Apoly004108	257.464321810557	-0.596641042684239	0.140290576349721	-4.2528946577061	2.11024860522781e-05	0.0236120018985927	g39512	ACVL1_PONAB	Serine/threonine-protein kinase receptor R3	TRUE
Apoly004802	150.806809723844	-0.701915972644199	0.164580142551005	-4.26488859326797	2.00001971238349e-05	0.0236120018985927	g16044	SKR1B_DANRE	SKI family transcriptional corepressor 1 homolog-B	TRUE
Apoly005599	9.98236299876609	-1.16171699645277	0.280356063091466	-4.14371989548792	3.41717091898499e-05	0.0248074297734748	g17276	No_ID	No_Description	TRUE
Apoly005793	18.3288376083889	-1.27592851622153	0.325876016563494	-3.9153802408559	9.02618403198504e-05	0.040303963108275	g11865	UD2A1_MOUSE	UDP-glucuronosyltransferase 2A1	TRUE
Apoly007738	397.666821066001	-0.612236499294547	0.148318490554622	-4.12785012175589	3.66170643574474e-05	0.0248074297734748	g35533	FGD5_HUMAN	FYVE, RhoGEF and PH domain-containing protein 5	TRUE
Apoly008779	615.504437590203	-0.527183620111137	0.132337785888793	-3.98362128072887	6.78730078355158e-05	0.0350921311827468	g27081	LAMA3_MOUSE	Laminin subunit alpha-3	TRUE
Apoly009376	36.0358359401431	-0.706267890982849	0.166284861448836	-4.24733727910739	2.16326174059484e-05	0.0236120018985927	g27865	PIEZ2_MOUSE	Piezo-type mechanosensitive ion channel component 2	TRUE
Apoly011800	15.9017860208127	-2.3918125509915	0.573894532441373	-4.16768659707668	3.07706599765051e-05	0.0243824694636503	g24071	No_ID	No_Description	TRUE
Apoly013208	111.645452034978	0.514716525247077	0.133558434556356	3.85386761200686	0.000116266479115942	0.0439286060613637	g36739	YM67_CAEEL	Putative serine protease K12H4.7	TRUE
Apoly017343	11.9286277365194	-1.00723546425101	0.262820888816366	-3.83240262517628	0.000126897833238756	0.046169661660034	g17636	I22R2_RAT	Interleukin-22 receptor subunit alpha-2	TRUE
Apoly017726	47.3749695829078	-0.889948332516636	0.206169401449862	-4.31658784600518	1.58459635484946e-05	0.0236120018985927	g18124	VITRN_BOVIN	Vitrin	TRUE
Apoly019552	37.9750699772005	-0.936305993037066	0.23995652126178	-3.9019818595203	9.54083093106376e-05	0.0416552678450244	g8977	MRC1_HUMAN	Macrophage mannose receptor 1	TRUE
Apoly019877	102.593179847192	0.517804608209877	0.118339556167624	4.37558349024417	1.21108074736349e-05	0.0216310031304095	g9424	NFIL3_DANRE	Nuclear factor interleukin-3-regulated protein	TRUE
Apoly021246	655.625567179236	-0.568704773639981	0.132482419881657	-4.292681052686	1.76528499095111e-05	0.0236120018985927	g5490	ZMYM3_MOUSE	Zinc finger MYM-type protein 3	TRUE
Apoly021286	190.343813379767	1.21018213842217	0.289438491638295	4.18113752449522	2.90054356493603e-05	0.0243824694636503	g5576	TAP2_RAT	Antigen peptide transporter 2	TRUE
Apoly021534	135.4306882152	0.515502956326409	0.122537523081655	4.20689877975496	2.588990308803e-05	0.0243160101317043	g6017	NRSN1_HUMAN	Neurensin-1	TRUE
Apoly023607	32.9715954165854	-1.25208760540002	0.31034968005748	-4.0344414248087	5.47323409142647e-05	0.0334630356209553	g30229	No_ID	No_Description	TRUE
Apoly023874	24.373688224215	-0.810304291391982	0.196856656139652	-4.11621485034849	3.85145304155819e-05	0.0252231659691646	g28075	F16A1_MOUSE	Protein FAM160A1	TRUE
Apoly024102	302.020426647082	-0.545010683463798	0.119956871553532	-4.54338860630072	5.53570640943576e-06	0.0145279732924975	g28446	UBP53_HUMAN	Inactive ubiquitin carboxyl-terminal hydrolase 53	TRUE
Apoly025049	40.3100412343785	-1.1924481208055	0.279540248356	-4.26574751871471	1.99233992064096e-05	0.0236120018985927	g2590	No_ID	No_Description	TRUE
Apoly025147	1316.91316065784	-0.521922457594185	0.130408091377147	-4.0022244945274	6.27497160740763e-05	0.0342456575474272	g2777	DOCK9_HUMAN	Dedicator of cytokinesis protein 9 {ECO:0000305}	TRUE
