Apoly_gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	gene_symbol	function_protein
Apoly000283	45.8639404252127	-0.78341065106086	0.175797330612848	-4.45632847967491	8.33752498050597e-06	0.00131211799380713	g19613	CD109_HUMAN	CD109 antigen
Apoly000323	44.1710551131358	-0.594015839564589	0.167416207003636	-3.54813820117002	0.000387964597024593	0.0158930833293047	g19663	BUB1B_HUMAN	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta
Apoly000330	37.3017338497873	-0.627131171524254	0.175351416552871	-3.57642489494898	0.000348325330578744	0.0146833122053115	g19671	PLD4_HUMAN	Phospholipase D4
Apoly000349	150.179025475793	0.504521105792128	0.145796361050171	3.46045060492638	0.00053927215957026	0.0191791991214395	g19697	FMN1_HUMAN	Formin-1
Apoly000412	572.110480377841	-0.8351790345276	0.241570959913734	-3.45728242676954	0.000545652659372185	0.0192970982626287	g19789	MAAI_MOUSE	Maleylacetoacetate isomerase
Apoly000512	27.4276872770148	-1.58663897082266	0.427591210197701	-3.71064449638489	0.000206732254083483	0.0113163438213524	g19928	CMPK2_HUMAN	UMP-CMP kinase 2, mitochondrial
Apoly000519	57.0366028052983	-0.710111849266862	0.193229238197854	-3.67497101313287	0.000237876420342852	0.012141341076148	g19950	5NTD_BOVIN	5'-nucleotidase
Apoly000540	13596.6681217995	-0.520425441530644	0.141730152070208	-3.67194583459449	0.000240710707340035	0.0122528887011228	g19973	RL13A_HUMAN	60S ribosomal protein L13a
Apoly000664	546.091487445519	0.683947559128448	0.157259129548928	4.34917553651887	1.36650301011015e-05	0.00204812772586748	g20162	SLIK3_HUMAN	SLIT and NTRK-like protein 3
Apoly000721	132.687445221463	0.52679429474746	0.144464679764875	3.64652658078673	0.000265808993443569	0.0128383704378051	g20231	NMD3A_RAT	Glutamate receptor ionotropic, NMDA 3A
Apoly000761	47.053831502967	-0.824434076184273	0.134091675658687	-6.14828677570383	7.83243275372455e-10	1.6435054728232e-06	g20296	MYCT1_DANRE	Myc target protein 1 homolog
Apoly000765	89.7464380052777	0.769944543735029	0.150904091800917	5.10221117629331	3.3570784674234e-07	0.000149524172724613	g20300	AKA12_MOUSE	A-kinase anchor protein 12
Apoly000923	133.055816094876	0.672757054086771	0.166493442270168	4.04074205514409	5.32823382564399e-05	0.00465041759247962	g20544	S4A11_MOUSE	Sodium bicarbonate transporter-like protein 11
Apoly000971	36.7502518243217	1.51161169211225	0.407464825463304	3.70979676685832	0.000207425688988792	0.0113214859437958	g20666	SYNE2_HUMAN	Nesprin-2
